stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,,,,
0411MKD,,Makadara,D,-1.296451,36.862606,,,,,,,,
0401LUM,,Lumumba madukani,UD,-1.292253,36.869728,,,,,,,,
0401JNB,,Junction,UD,-1.289733,36.875458,,,,,,,,
0401MTP,,Metropolitan Hospital,UD,-1.288246,36.874672,,,,,,,,
0401BRG,,Buru buru Girls,UD,-1.286377,36.874051,,,,,,,,
0401HRB,,Harambee,UD,-1.285141,36.873807,,,,,,,,
0411HRB,,Harambee,D,-1.284591,36.873625,,,,,,,,
0401HUJ,,Harambee Uhuru Junction,UD,-1.28188,36.871372,,,,,,,,
0401KBU,,Kiambiu,UD,-1.280591,36.871026,,,,,,,,
0401KCT,,Kobil Calvary Temple,UD,-1.27887,36.872215,,,,,,,,
0401NBP,,Neighbours Buruburu Phase 1,UD,-1.277615,36.875755,,,,,,,,
0401BPR,,Buruburu 1 Primary School,UD,-1.275435,36.87744,,,,,,,,
0411BP1,,Phase 1 stage,D,-1.272672,36.877445,,,,,,,,
0401RPL,,Raphael,ND,-1.272217,36.87739,,,,,,,,
0411SOS,,SOS,D,-1.271622,36.878287,,,,,,,,
0401MWS,,Outer Mwisho,UD,-1.271684,36.879309,,,,,,,,
0400TTL,,Total,UD,-1.270318,36.880947,,,,,,,,
0400MYK,,Mayaka,UD,-1.266875,36.880084,,,,,,,,
0401HMN,,Harmony,UD,-1.266028,36.879881,,,,,,,,
0401RDB,,Rounda,UD,-1.262318,36.878902,,,,,,,,
0401KCB,,KCB,UD,-1.259332,36.878897,,,,,,,,
0401EQY,,Equity,UD,-1.258307,36.87886,,,,,,,,
0401KSN,,Kanisani,UD,-1.257172,36.878816,,,,,,,,
0401BNG,,Kariobangi,UD,-1.256664,36.878845,,,,,,,,
0400KCB,,KCB,UD,-1.259294,36.878909,,,,,,,,
0401RAU,,Rounda,UD,-1.26271,36.87912,,,,,,,,
0400HMN,,Harmony,UD,-1.265797,36.879828,,,,,,,,
0401MYK,,Mayaka,UD,-1.26679,36.88013,,,,,,,,
0400PIO,,Pioneer Estate,UD,-1.267833,36.880376,,,,,,,,
0401TTL,,Total,UD,-1.269783,36.880898,,,,,,,,
0400TMW,,Outer Mwisho,UD,-1.271725,36.879305,,,,,,,,
0400PSG,,Phase 1 Stage,UD,-1.272407,36.877518,,,,,,,,
0400PSM,,Phase 1 Monument,UD,-1.274204,36.877514,,,,,,,,
0400BPS,,Buruburu 1 Primary School,UD,-1.275405,36.877489,,,,,,,,
0400BRB,,Buruburu Roundabout,UD,-1.277372,36.87734,,,,,,,,
0400BNB,,Neighbours Phase 1,UD,-1.27771,36.875698,,,,,,,,
0400BKB,,Kiambiu,UD,-1.278592,36.872755,,,,,,,,
0400UJN,,Harambee Uhuru Junction,UD,-1.281935,36.871553,,,,,,,,
0400HRB,,Harambee,UD,-1.283695,36.873042,,,,,,,,
0410HRB,,Harambee,D,-1.284973,36.873887,,,,,,,,
0410BRG,,Buruburu Girls,UD,-1.286088,36.874025,,,,,,,,
0400MTP,,Metropolitan Hospital,UD,-1.287683,36.874441,,,,,,,,
0410MAK,,Market,D,-1.288553,36.874986,,,,,,,,
0400LMS,,Lumumba Shops,UD,-1.292329,36.869708,,,,,,,,
0400N10,,Number 10,UD,-1.293139,36.867177,,,,,,,,
0400HDH,,Hodihodi,UD,-1.29309,36.866034,,,,,,,,
0400FDS,,Friends Centre,UD,-1.29346,36.864653,,,,,,,,
0400PS1,,Maringo Phase1,UD,-1.293352,36.862728,,,,,,,,
0400MWH,,Makadara/Mwisho,UD,-1.296118,36.862166,,,,,,,,
