stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0611KEN,,,KenCom,-1.285817,36.824544,,,,
0611GPO,,,GPO,-1.286525,36.817817,,,,
0611SER,,,"Saint Andrews/Serena",-1.288492,36.813577,,,,
0601INT,,,"Integrity Centre",-1.289765,36.810258,,,,
0601VAL,,,"Valley Road",-1.292762,36.805336,,,,
0611NHS,,,"Nairobi Hospital",-1.295239,36.805023,,,,
0611DOD,,,DoD,-1.295308,36.801204,,,,
0611HUL,,,Hurlinghum,-1.294659,36.797768,,,,
0611RSE,,,"Rose Avenue Junction",-1.294042,36.795358,,,,
0611STH,,,"Studio House",-1.293114,36.791195,,,,
0611PBK,,,"Prime Bank/Timau",-1.292719,36.789449,,,,
0601YAY,,,Yaya,-1.292341,36.787597,,,,
0610YAY,,,Yaya,-1.292244,36.787642,,,,
0600PBK,,,"Prime Bank/Timau",-1.29265,36.789344,,,,
0610RMX,,,"Remax Shopping Village",-1.293373,36.792853,,,,
0610NWH,,,"Nariobi Womens Hospital",-1.293984,36.795456,,,,
0610HUL,,,Hurlinghum,-1.294756,36.798373,,,,
0600DOD,,,DoD,-1.294859,36.802443,,,,
0610VAL,,,"Valley Road",-1.29237,36.805031,,,,
0610STH,,,"State House Avenue",-1.289312,36.810743,,,,
0610SER,,,Serena,-1.288257,36.813668,,,,
0610POS,,,"Posta/Koinange St.",-1.285949,36.818207,,,,
0610KEN,,,KenCom,-1.285563,36.825297,,,,
