shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled7004W11,-1.29048,36.827999,1001
7004W11,-1.291455,36.828468,1002,,,,
7004W11,-1.291455,36.828468,1003,,,,
7004W11,-1.291317,36.828754,1004,,,,
7004W11,-1.289362,36.827744,1005,,,,
7004W11,-1.289362,36.827744,1006,,,,
7004W11,-1.289452,36.827572,1007,,,,
7004W11,-1.289384,36.827415,1008,,,,
7004W11,-1.292658,36.821053,1009,,,,
7004W11,-1.292658,36.821053,1010,,,,
7004W11,-1.292799,36.820705,1011,,,,
7004W11,-1.292786,36.820633,1012,,,,
7004W11,-1.292786,36.820633,1013,,,,
7004W11,-1.292933,36.820477,1014,,,,
7004W11,-1.292924,36.820343,1015,,,,
7004W11,-1.292791,36.820175,1016,,,,
7004W11,-1.293516,36.816353,1017,,,,
7004W11,-1.29384,36.815079,1018,,,,
7004W11,-1.294067,36.814663,1019,,,,
7004W11,-1.294579,36.81432,1020,,,,
7004W11,-1.294796,36.81403,1021,,,,
7004W11,-1.295284,36.812653,1022,,,,
7004W11,-1.29545,36.810959,1023,,,,
7004W11,-1.295454,36.809624,1024,,,,
7004W11,-1.295454,36.809624,1025,,,,
7004W11,-1.296895,36.807384,1026,,,,
7004W11,-1.297814,36.803425,1027,,,,
7004W11,-1.298116,36.802998,1028,,,,
7004W11,-1.297959,36.80241,1029,,,,
7004W11,-1.298019,36.801781,1030,,,,
7004W11,-1.298564,36.79932,1031,,,,
7004W11,-1.299293,36.795574,1032,,,,
7004W11,-1.300059,36.779697,1033,,,,
7004W11,-1.300175,36.779663,1034,,,,
7004W11,-1.300252,36.779526,1035,,,,
7004W11,-1.300189,36.779381,1036,,,,
7004W11,-1.300056,36.779324,1037,,,,
7004W11,-1.300487,36.770927,1038,,,,
7004W11,-1.300466,36.769653,1039,,,,
7004W11,-1.300402,36.768932,1040,,,,
7004W11,-1.299107,36.762836,1041,,,,
7004W11,-1.299147,36.762356,1042,,,,
7004W11,-1.299245,36.761997,1043,,,,
7004W11,-1.299098,36.761089,1044,,,,
7004W11,-1.299126,36.76062,1045,,,,
7004W11,-1.299023,36.760509,1046,,,,
7004W11,-1.298851,36.760483,1047,,,,
7004W11,-1.298851,36.760483,1048,,,,
7004W11,-1.298661,36.760406,1049,,,,
7004W11,-1.298527,36.760227,1050,,,,
7004W11,-1.298032,36.757896,1051,,,,
7004W11,-1.297899,36.757477,1052,,,,
7004W11,-1.297669,36.757084,1053,,,,
7004W11,-1.297457,36.756847,1054,,,,
7004W11,-1.296741,36.756374,1055,,,,
7004W11,-1.296741,36.756374,1056,,,,
7004W11,-1.298647,36.751644,1057,,,,
7004W11,-1.298647,36.751644,1058,,,,
7004W11,-1.298109,36.751453,1059,,,,
7004W11,-1.297769,36.75127,1060,,,,
7004W11,-1.297651,36.750957,1061,,,,
7004W11,-1.297566,36.750118,1062,,,,
7004W11,-1.297487,36.750053,1063,,,,
7004W11,-1.296921,36.749912,1064,,,,
7004W11,-1.296724,36.749329,1065,,,,
7004W11,-1.296537,36.749237,1066,,,,
7004W11,-1.296011,36.749126,1067,,,,
7004W11,-1.295539,36.749142,1068,,,,
7004W11,-1.295179,36.748882,1069,,,,
7004W11,-1.29508,36.748707,1070,,,,
7004W11,-1.294821,36.74752,1071,,,,
7004W11,-1.295285,36.745579,1072,,,,
7004W11,-1.295106,36.744785,1073,,,,
7004W11,-1.295106,36.744785,1074,,,,
7004W11,-1.295467,36.744556,1075,,,,
7004W11,-1.295616,36.74435,1076,,,,
7004W11,-1.296347,36.741913,1077,,,,
7004W11,-1.296491,36.741383,1078,,,,
7004W11,-1.296515,36.741077,1079,,,,
7004W11,-1.296514,36.740833,1080,,,,
7004W11,-1.296405,36.740299,1081,,,,
7004W11,-1.29624,36.739902,1082,,,,
7004W11,-1.295761,36.739399,1083,,,,
7004W11,-1.295027,36.738976,1084,,,,
7004W11,-1.294401,36.738503,1085,,,,
7004W11,-1.293236,36.736286,1086,,,,
7004W11,-1.293129,36.736233,1087,,,,
7004W11,-1.292701,36.736233,1088,,,,
7004W11,-1.292701,36.736233,1089,,,,
7004W11,-1.292623,36.735622,1090,,,,
7004W11,-1.292456,36.73505,1091,,,,
7004W11,-1.292339,36.734814,1092,,,,
7004W11,-1.291434,36.73391,1093,,,,
7004W11,-1.291246,36.733654,1094,,,,
7004W11,-1.290761,36.732235,1095,,,,
7004W11,-1.290454,36.729534,1096,,,,
7004W11,-1.290542,36.72876,1097,,,,
7004W11,-1.290522,36.730228,2001,,,,
7004W11,-1.290761,36.732235,2002,,,,
7004W11,-1.291146,36.733402,2003,,,,
7004W11,-1.291246,36.733654,2004,,,,
7004W11,-1.291434,36.73391,2005,,,,
7004W11,-1.292339,36.734814,2006,,,,
7004W11,-1.292544,36.735245,2007,,,,
7004W11,-1.292701,36.736233,2008,,,,
7004W11,-1.292701,36.736233,2009,,,,
7004W11,-1.293129,36.736233,2010,,,,
7004W11,-1.293236,36.736286,2011,,,,
7004W11,-1.294401,36.738503,2012,,,,
7004W11,-1.295027,36.738976,2013,,,,
7004W11,-1.295761,36.739399,2014,,,,
7004W11,-1.29624,36.739902,2015,,,,
7004W11,-1.296405,36.740299,2016,,,,
7004W11,-1.296514,36.740833,2017,,,,
7004W11,-1.296515,36.741077,2018,,,,
7004W11,-1.296491,36.741383,2019,,,,
7004W11,-1.296347,36.741913,2020,,,,
7004W11,-1.295616,36.74435,2021,,,,
7004W11,-1.295467,36.744556,2022,,,,
7004W11,-1.295106,36.744785,2023,,,,
7004W11,-1.295106,36.744785,2024,,,,
7004W11,-1.295285,36.745579,2025,,,,
7004W11,-1.294821,36.74752,2026,,,,
7004W11,-1.29508,36.748707,2027,,,,
7004W11,-1.295179,36.748882,2028,,,,
7004W11,-1.295539,36.749142,2029,,,,
7004W11,-1.296011,36.749126,2030,,,,
7004W11,-1.296537,36.749237,2031,,,,
7004W11,-1.296724,36.749329,2032,,,,
7004W11,-1.296921,36.749912,2033,,,,
7004W11,-1.297487,36.750053,2034,,,,
7004W11,-1.297566,36.750118,2035,,,,
7004W11,-1.297651,36.750957,2036,,,,
7004W11,-1.297769,36.75127,2037,,,,
7004W11,-1.298109,36.751453,2038,,,,
7004W11,-1.298647,36.751644,2039,,,,
7004W11,-1.298647,36.751644,2040,,,,
7004W11,-1.296741,36.756374,2041,,,,
7004W11,-1.296741,36.756374,2042,,,,
7004W11,-1.297457,36.756847,2043,,,,
7004W11,-1.297669,36.757084,2044,,,,
7004W11,-1.297899,36.757477,2045,,,,
7004W11,-1.298032,36.757896,2046,,,,
7004W11,-1.298926,36.761898,2047,,,,
7004W11,-1.298926,36.761898,2048,,,,
7004W11,-1.300402,36.768932,2049,,,,
7004W11,-1.300466,36.769653,2050,,,,
7004W11,-1.300487,36.770927,2051,,,,
7004W11,-1.300056,36.779324,2052,,,,
7004W11,-1.299927,36.779385,2053,,,,
7004W11,-1.299871,36.779491,2054,,,,
7004W11,-1.299916,36.779629,2055,,,,
7004W11,-1.300059,36.779697,2056,,,,
7004W11,-1.299293,36.795574,2057,,,,
7004W11,-1.298564,36.79932,2058,,,,
7004W11,-1.298019,36.801781,2059,,,,
7004W11,-1.297959,36.80241,2060,,,,
7004W11,-1.297724,36.802944,2061,,,,
7004W11,-1.297814,36.803425,2062,,,,
7004W11,-1.296895,36.807384,2063,,,,
7004W11,-1.29606,36.808739,2064,,,,
7004W11,-1.294522,36.811047,2065,,,,
7004W11,-1.293981,36.811653,2066,,,,
7004W11,-1.293981,36.811653,2067,,,,
7004W11,-1.293871,36.811867,2068,,,,
7004W11,-1.293914,36.812008,2069,,,,
7004W11,-1.29471,36.812206,2070,,,,
7004W11,-1.29471,36.812206,2071,,,,
7004W11,-1.295284,36.812653,2072,,,,
7004W11,-1.295284,36.812653,2073,,,,
7004W11,-1.295026,36.813469,2074,,,,
7004W11,-1.294708,36.814175,2075,,,,
7004W11,-1.294418,36.814461,2076,,,,
7004W11,-1.294067,36.814663,2077,,,,
7004W11,-1.293883,36.814941,2078,,,,
7004W11,-1.293516,36.816353,2079,,,,
7004W11,-1.292785,36.82021,2080,,,,
7004W11,-1.292785,36.82021,2081,,,,
7004W11,-1.292601,36.820232,2082,,,,
7004W11,-1.292506,36.820347,2083,,,,
7004W11,-1.292507,36.820503,2084,,,,
7004W11,-1.29261,36.820618,2085,,,,
7004W11,-1.292572,36.820938,2086,,,,
7004W11,-1.291871,36.822311,2087,,,,
7004W11,-1.291871,36.822311,2088,,,,
7004W11,-1.291648,36.822472,2089,,,,
7004W11,-1.291258,36.823196,2090,,,,
