stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,,,,,,,,,,,,
0411MTW,,Muthurwa,D,-1.288449,36.834243,,,,,,,,,,,,,,,,
0401CTY,,City stadium/Lusaka rd junctn,D,-1.29345,36.84094,,,,,,,,,,,,,,,,
0411DTB,,Dt dobie,D,-1.29875,36.83781,,,,,,,,,,,,,,,,
0401PSN,,Prison,UD,-1.300879,36.837576,,,,,,,,,,,,,,,,
0401DAR,,Daresalam,ND,-1.304213,36.839302,,,,,,,,,,,,,,,,
0401TAL,,Total,ND,-1.306339,36.841548,,,,,,,,,,,,,,,,
0401HMB,,Homabay,ND,-1.307088,36.842819,,,,,,,,,,,,,,,,
0401QTY,,Equity,ND,-1.309235,36.845737,,,,,,,,,,,,,,,,
0401BSA,,Busia,D,-1.310628,36.848034,,,,,,,,,,,,,,,,
0401KPL,,kampala,ND,-1.311243,36.849444,,,,,,,,,,,,,,,,
0411KPL,,kampala,D,-1.311345,36.849784,,,,,,,,,,,,,,,,
0401TPK,,Tetrapark,ND,-1.313706,36.855886,,,,,,,,,,,,,,,,
0401SHL,,Shell,ND,-1.314588,36.858637,,,,,,,,,,,,,,,,
0401ROA,,Road A,D,-1.318074,36.863021,,,,,,,,,,,,,,,,
0401CEX,,Chloride exide,ND,-1.321591,36.86859,,,,,,,,,,,,,,,,
0401FLC,,Falcon,D,-1.322638,36.86984,,,,,,,,,,,,,,,,
0411GMM,,GM,D,-1.326088,36.870826,,,,,,,,,,,,,,,,
0401GMW,,GM Mwisho,ND,-1.328448,36.870162,,,,,,,,,,,,,,,,
0400GMT,,GM Town,ND,-1.328512,36.87017,,,,,,,,,,,,,,,,
0410CEX,,Chloride Exide,D,-1.321546,36.868628,,,,,,,,,,,,,,,,
0400HCC,,Hillocks country club,ND,-1.319164,36.865314,,,,,,,,,,,,,,,,
0400ROA,,Road A,ND,-1.317972,36.862809,,,,,,,,,,,,,,,,
0400KRT,,Kartasi,ND,-1.315107,36.860227,,,,,,,,,,,,,,,,
0400TPK,,Tetrapark,ND,-1.313898,36.856632,,,,,,,,,,,,,,,,
0400EXP,,Express,ND,-1.314765,36.85437,,,,,,,,,,,,,,,,
0400CRN,,Crown,ND,-1.314108,36.852687,,,,,,,,,,,,,,,,
0400KYB,,Kayaba,ND,-1.311827,36.850083,,,,,,,,,,,,,,,,
0400BSA,,Busia,D,-1.310852,36.848077,,,,,,,,,,,,,,,,
0400QTY,,Equity,D,-1.309123,36.845319,,,,,,,,,,,,,,,,
0400KWA,,KWAL,UD,-1.306381,36.841321,,,,,,,,,,,,,,,,
0410COM,,Commercial,D,-1.303715,36.838689,,,,,,,,,,,,,,,,
0410DTB,,Dt dobie,D,-1.29908,36.83715,,,,,,,,,,,,,,,,
0410CTI,,City stadium/Lusaka rd junctn,D,-1.29336,36.84073,,,,,,,,,,,,,,,,
0410MTH,,Muthurwa,D,-1.288928,36.835961,,,,,,,,,,,,,,,,
